Rank,Name,Address,Description,latitude,longitude
1,Nusr-Et Steakhouse New York,"60 W 53rd St, New York, NY 10019",Outpost of a high-end international steakhouse chain by a chef known for his dramatic serving style.,40.761254,-73.9809537
2,The Lobster Club,"98 E 53rd St, New York, NY 10022","High-end Japanese locale serving sushi & teppanyaki dishes in a sophisticated, lounge-style setting.",40.7586069,-73.9718448
3,DaDong New York,"3 Bryant Park, New York, NY 10036","Spacious branch of a Chinese chain devoted to upscale roast duck, with tasting menus & a terrace.",40.7548095,-73.9851819
4,Ferris,"44 W 29th St, New York, NY 10001","Sleek yet cozy New American in the MADE Hotel offering seasonal, eclectic dishes & drinks.",40.7462935,-73.9896373
5,L'Atelier and Le Grill de Joel Robuchon,"85 10th Ave, New York, NY 10011",Place for modern French dishes & tasting menus (including vegetarian) from an acclaimed chef.,40.7430491,-74.0078709
6,Miznon,"435 W 15th St, New York, NY 10011",Chelsea Market branch of a global chain for Mediterranean stuffed pitas with a local twist.,40.7425548,-74.0060838
7,Cote Korean Steakhouse,"16 W 22nd St, New York, NY 10010",Guests cook their own dry-aged steaks on tabletop grills at this upscale Korean spot.,40.7410477,-73.9914288
8,Scampi,"30 W 18th St, New York, NY 10011","Chic space for Southern Italian seafood, pastas & wine, with banquette & communal seating.",40.7390496,-73.993548
9,Don Angie,"103 Greenwich Ave, New York, NY 10014",Place for updated Italian-American classics with wine & cocktails in a marble-accented space.,40.7378037,-74.0020939
10,Sorbillo Pizzeria,"334 Bowery, New York, NY 10012","Full-service pizza place by a Neapolitan pizzaiolo, also offering salads, pastas, beer & wine.",40.726054,-73.992295
Rank,Name,Address,Description,latitude,longitude
1,Statue of Liberty,"New York, NY 10004","Iconic National Monument opened in 1886, offering guided tours, a museum & city views.",40.6892494,-74.0445004
2,Central Park,"Manhattan,¾New York,¾NY¾10021","Sprawling park with pedestrian paths & ballfields, plus a zoo, carousel, boat rentals & a reservoir.",40.7828647,-73.9653551
3,Rockefeller Center and Top of the Rock Observation Deck,"30 Rockefeller Plaza, New York, NY 10020","Observatory on top of Rockefeller Center, with an ocean-liner style design, offering city views.",40.759243,-73.979294
4,Metropolitan Museum of Art,"1000 5th Ave, New York, NY 10028","A grand setting for one of the world's greatest collections of art, from ancient to contemporary.",40.7794366,-73.963244
5,Time Square,"Manhattan, NY 10036","Bustling destination in the heart of the Theater District known for bright lights, shopping & shows.",40.7588949,-73.9851308
6,Empire State Building,"350 5th Ave, New York, NY 10118","Iconic, art deco office tower from 1931 with exhibits & observatories on the 86th & 102nd floors.",40.7484405,-73.9856644
7,¾High Line,"New York, NY 10011","Popular park 30 feet above street level on an old rail line, with river & city views.",40.7479965,-74.0069536
8,Brooklyn Bridge,"Brooklyn Bridge, New York, NY 10038","Beloved, circa-1883 landmark connecting Manhattan & Brooklyn via a unique stone-&-steel design.",40.7058134,-73.9981622
9,Wall Street,"New York, NY 10038","This street and the surrounding area are home to some of the most important exchanges in the world, including the New York Stock Exchange, the NASDAQ, and the New York Mercantile Exchange.",40.7060176,-74.0100518
10,Grand Central Terminal,"89 E 42nd St, New York, NY 10017","Iconic train station known for its grand facade & main concourse, also offering shops & dining.",40.7527302,-73.9794181
