,longtitude,latitude,type,name
1,-73.8803827,40.7643124,restaurant,BRUNOS ON THE BOULEVARD 88-25 ASTORIA BOULEVARD New York NY 11369
2,-73.8786113,40.8502883,restaurant,WILD ASIA 2300 SOUTHERN BOULEVARD New York NY 10460
3,-73.9680572,40.7925587,restaurant,P & S DELI GROCERY 730 COLUMBUS AVENUE New York NY 10025
4,-73.9976946,40.7250632,restaurant,ANGELIKA FILM CENTER 18 WEST HOUSTON STREET New York NY 10012
5,-73.9330429,40.6515882,restaurant,SHASHEMENE INT'L RESTAURA 195 EAST 56 STREET New York NY 11203
6,-73.8477874,40.8887394,restaurant,CARVEL ICE CREAM 1006 EAST 233 STREET New York NY 10466
7,-73.97535,40.7516269,restaurant,LEXLER DELI 405 LEXINGTON AVENUE New York NY 10174
8,-73.8309503,40.7001121,restaurant,SNACK TIME GRILL 87-69 LEFFERTS BOULEVARD New York NY 11418
9,-73.9624327,40.7645239,restaurant,MITCHEL LONDON FOODS 22 EAST 65 STREET New York NY 10065
10,-73.9683102,40.7999209,restaurant,SPOON BREAD CATERING 364 WEST 110 STREET New York NY 10025
11,-73.87425,40.7766392,restaurant,TERMINAL CAFE/YANKEE CLIPPER 0 GUARDIA AIRPORT PARKING New York NY 11371
12,-74.1177623,40.5734023,restaurant,PLAZA BAGELS & DELI 73 NEW DORP PLAZA New York NY 10306
13,-74.1523097,40.5564316,restaurant,B & M HOT BAGEL & GROCERY 203 GIFFORDS LANE New York NY 10308
14,-74.0061936,40.7092038,restaurant,TEXAS ROTISSERIE 94 FULTON STREET New York NY 10038
15,-73.81364,40.829411,restaurant,MANHEM CLUB 658 CLARENCE AVE New York NY 10465
16,-73.9874105,40.7322535,restaurant,OLD TOWN BAR & RESTAURANT 45 EAST 18 STREET New York NY 10003
17,-73.8613499,40.7295323,restaurant,BEN-BEST DELI & RESTAURANT 96-40 QUEENS BOULEVARD New York NY 11374
18,-73.965531,40.765431,restaurant,DONOHUE'S STEAK HOUSE 845 LEXINGTON AVENUE New York NY 10065
19,-73.9558204,40.7728432,restaurant,DINING ROOM . ALLEN TRIPO New York NY 10075
20,-73.8160989,40.7048296,restaurant,NEW PARK PIZZERIA & RESTAURANT 156-71 CROSSBAY BOULEVARD New York NY 11414
21,-74.0028771,40.6527418,restaurant,MELODY LANES 461 37 STREET New York NY 11232
22,-73.9735108,40.5888453,restaurant,SHELL LANES 1 BOUCK COURT New York NY 11223
23,-74.22679,40.507255,restaurant,SOUTH SHORE SWIMMING CLUB 6736 HYLAN BOULEVARD New York NY 10309
