Building Address,Building Name,Building Park,Submarket Name,Submarket Cluster,County Name,PropertyType,Building Class,Building Status,Year Built,Year Renovated,Number Of Stories,Last Sale Price,Last Sale Date,For Sale Status,For Sale Price,Land Area (AC),Rentable Building Area,Typical Floor Size,Number Of Elevators,Core Factor,Percent Leased,Average Weighted Rent,Services,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Max Building Contiguous Space,Max Floor Contiguous Space,Total Available Space (SF),Amenities,Zoning,Number Of Parking Spaces,Parking Ratio,Building Operating Expenses,Building Tax Expenses,Location 1,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
688 8th Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,5,,,N,,0.06,8484,1696,0,,100,-,,,,,,,,,,,C6-4,,,2008 Tax @ $5.55/sf,2008 Tax @ $5.55/sf,"(40.758218, -73.989059)",1,10036,40.758218,-73.989059,5,3,119,1024704,1010150004,Midtown-Midtown South                                                      
323-325 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,,,4,,,N,,,8796,1709,0,,100,-,,,,,,,,,,,,,,,,"(40.760167, -73.988792)",1,10036,40.760167,-73.988792,4,3,127,1080892,1010370020,Clinton                                                                    
765 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,5,,,N,,0.0574,10271,2054,0,,100,-,,,,,,,,,,,C6-4,,,2009 Tax @ $5.81/sf,2009 Tax @ $5.81/sf,"(40.76029, -73.987572)",1,10036,40.76029,-73.987572,4,3,127,1025055,1010370035,Clinton                                                                    
713 8th Ave,,,Times Square,Midtown,Manhattan,Office,B,Existing,,,3,,,N,,,25318,8439,0,,100,-,,,,,,,,,,,,,,"2011 Tax @ $11.77/sf, 2010 Est Tax @ $11.38/sf; 2011 Est Ops @ $17.25/sf","2011 Tax @ $11.77/sf, 2010 Est Tax @ $11.38/sf; 2011 Est Ops @ $17.25/sf","(40.759011, -73.988514)",1,10036,40.759011,-73.988514,4,3,121,1024992,1010350036,Clinton                                                                    
249 W 48th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,,,2,,,N,,,10000,5000,0,,100,-,,,,,,,,,,,,,,,,"(40.76057, -73.98589)",1,10036,40.76057,-73.98589,5,3,125,,,Midtown-Midtown South                                                      
130 W 42nd St,Bush Tower,,Penn Plaza/Garment,Midtown,Manhattan,Office,B,Existing,1917,,30,,,N,,0.2261,226500,7004,9,,96.91,Negotiable,Direct - Plus Electric,,13000,0,7000,0,6000,6000,13000,"24/7 Building Access, Bus Line, Concierge, Metro/Subway, On Site Management, Property Manager on Site",C6-7,,,"2010 Tax @ $6.01/sf, 2011 Est Tax @ $0.52/sf; 2011 Ops @ $1.09/sf, 2010 Est Ops @ $15.59/sf","2010 Tax @ $6.01/sf, 2011 Est Tax @ $0.52/sf; 2011 Ops @ $1.09/sf, 2010 Est Ops @ $15.59/sf","(40.755278, -73.985172)",1,10036,40.755278,-73.985172,5,4,113,1022577,1009940045,Midtown-Midtown South                                                      
687 8th Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,4100000,5/16/1998,N,,0.0465,5588,1587,0,,100,-,,,,,,,,,,,"C6-4, New York",,,2011 Tax @ $36.10/sf; 2011 Est Ops @ $20.58/sf,2011 Tax @ $36.10/sf; 2011 Est Ops @ $20.58/sf,"(40.758152, -73.989131)",1,10036,40.758152,-73.989131,4,3,121,1024968,1010340031,Clinton                                                                    
825 Eighth Ave,Worldwide Plaza,,Times Square,Midtown,Manhattan,Office,A,Existing,1989,,47,605000000,7/21/2005,N,,1.3774,1900000,60000,27,,99.91,Negotiable,,,72362,33116,1685,33116,68288,34144,105478,"Banking, Concierge, Corner Lot, Energy Star Labeled, Fitness Center, Food Court, Metro/Subway, On Site Management, Property Manager on Site, Restaurant","C62, New York",,0.3,"2010 Tax @ $12.23/sf, 2011 Est Tax @ $12.22/sf; 2001 Ops @ $12.11/sf, 2011 Est Ops @ $11.18/sf","2010 Tax @ $12.23/sf, 2011 Est Tax @ $12.22/sf; 2001 Ops @ $12.11/sf, 2011 Est Ops @ $11.18/sf","(40.762074, -73.986275)",1,10019,40.762074,-73.986275,4,3,127,1076203,1010400029,Clinton                                                                    
219-235 W 40th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1923,,5,59990000,7/13/2000,N,,0.1148,25000,4696,0,,100,-,,,,,,,,,,,M1-6,,,2011 Tax @ $36.04/sf; 2011 Est Ops @ $209.70/sf,2011 Tax @ $36.04/sf; 2011 Est Ops @ $209.70/sf,"(40.755092, -73.988674)",1,10018,40.755092,-73.988674,5,3,113,1080830,1010120015,Midtown-Midtown South                                                      
760 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1928,,3,,,N,,0.1837,15000,5000,0,,100,-,,,,,,,,,,Signalized Intersection,C6-4,,,2010 Tax @ $24.08/sf; 2010 Ops @ $17.70/sf,2010 Tax @ $24.08/sf; 2010 Ops @ $17.70/sf,"(40.760117, -73.987673)",1,10036,40.760117,-73.987673,5,3,125,1024748,1010180061,Midtown-Midtown South                                                      
