CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
50012569,CASA MEXICANA,MANHATTAN,898,AMSTERDAM AVE,10025,2122223151,Mexican,01/12/2015,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,17,,,02/08/2018,Cycle Inspection / Initial Inspection
50017243,BURGER & LOBSTER,MANHATTAN,39,W 19TH ST,10011,6468337532,American,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
50012356,TEXAS CHICKEN & BURGERS,MANHATTAN,151,E 103RD ST,10029,9173304730,Chicken,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
41453860,SPICE,MANHATTAN,236,8 AVENUE,10011,2126204585,Thai,01/12/2015,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,,02/08/2018,Trans Fat / Re-inspection
41460077,5 NAPKIN BURGER,MANHATTAN,2315,BROADWAY,10024,2123334488,Hamburgers,01/12/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,15,,,02/08/2018,Cycle Inspection / Initial Inspection
50008356,NEW HAPPY WOK,MANHATTAN,158,DELANCEY ST,10002,2123889800,Chinese,01/12/2015,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,11,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
41470773,DUNKIN' DONUTS,MANHATTAN,535,AMSTERDAM AVENUE,10024,2125951682,Donuts,01/12/2015,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
41575449,MIDNIGHT EXPRESS,MANHATTAN,1715,2 AVENUE,10128,2128602320,American,01/12/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15,B,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
50004028,CHIPOTLE MEXICAN GRILL,MANHATTAN,28,W 40TH ST,10018,2123020650,Mexican,01/12/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,,,02/08/2018,Cycle Inspection / Initial Inspection
50016844,ROSE PIZZA,MANHATTAN,1,PENN PLAZA,10119,2125947817,Pizza,01/12/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,52,,,02/08/2018,Pre-permit (Operational) / Initial Inspection
41453860,SPICE,MANHATTAN,236,8 AVENUE,10011,2126204585,Thai,01/12/2015,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,,02/08/2018,Smoke-Free Air Act / Re-inspection
50001837,THE P INSULA NEW YORK/ CLEMENT/ THE GOTHAM LOUNGE/ SALON DE NING,MANHATTAN,700,FIFTH AVE,10019,2129562888,American,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
50001837,THE P INSULA NEW YORK/ CLEMENT/ THE GOTHAM LOUNGE/ SALON DE NING,MANHATTAN,700,FIFTH AVE,10019,2129562888,American,01/12/2015,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,10,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
50001918,BLACK IRON BURGER,MANHATTAN,540,E. 5TH STREET,10009,2126776067,American,01/12/2015,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,02/08/2018,Administrative Miscellaneous / Re-inspection
41056433,DUNKIN' DONUTS/ BASKIN ROBBINS,MANHATTAN,1760,2 AVENUE,10128,2128763312,Donuts,01/12/2015,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,9,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
40573138,TAVERN ON JANE,MANHATTAN,31,8 AVENUE,10014,2126752526,American,01/12/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,B,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41416781,RYEHOUSE,MANHATTAN,11,WEST 17 STREET,10011,2122557260,American,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,31,,,02/08/2018,Cycle Inspection / Initial Inspection
40545329,BEN'S DELI,MANHATTAN,209,WEST   38 STREET,10018,2123982367,Jewish/Kosher,01/12/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,25,,,02/08/2018,Cycle Inspection / Initial Inspection
50010490,WENDY'S,MANHATTAN,85,NASSAU ST,10038,2126193322,American,01/12/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
41575449,MIDNIGHT EXPRESS,MANHATTAN,1715,2 AVENUE,10128,2128602320,American,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,15,B,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41590133,CAFE DEL SOL,MANHATTAN,480,7 AVENUE,10018,2126432926,Delicatessen,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23,B,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41453860,SPICE,MANHATTAN,236,8 AVENUE,10011,2126204585,Thai,01/12/2015,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41512057,LA BERGAMOTE,MANHATTAN,177,9 AVENUE,10011,2126279010,French,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
40950482,EAMONN'S BAR AND GRILL,MANHATTAN,9,EAST   45 STREET,10017,2128679013,Irish,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41239252,BODRUM,MANHATTAN,584,AMSTERDAM AVENUE,10024,2127992806,Mediterranean,01/12/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,5,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41298811,LE PAIN QUOTIDIEN,MANHATTAN,70,WEST   40 STREET,10018,2123545224,Sandwiches/Salads/Mixed Buffet,01/12/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
50012569,CASA MEXICANA,MANHATTAN,898,AMSTERDAM AVE,10025,2122223151,Mexican,01/12/2015,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,17,,,02/08/2018,Cycle Inspection / Initial Inspection
50004346,KFC,MANHATTAN,2755,BROADWAY,10025,2126659430,American,01/12/2015,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,26,,,02/08/2018,Cycle Inspection / Initial Inspection
41487544,NANOOSH,MANHATTAN,173,MADISON AVENUE,10016,2124474345,Mediterranean,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41553745,HOP SHING RESTAURANT,MANHATTAN,9,CHATHAM SQUARE,10038,2122670220,Chinese,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,17,B,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
